,NAME,FNAME,POSITION,POSITION2,HAND,OVERALLRTG,FGPBASE,THREEPTBAS,FTPBASE,DNKABILITY,STLABILITY,BLKABILITY,OREABILITY,DREABILITY,BALABILITY,OFFABILITY,DEFABILITY,SPEED,QUICK,JUMP,DRIBBLE,DSTRENGTH,DHARDY,DSHOOTRANG,FATIGUE,INSIDESC,THREEPTATT,PRIMACY,CHEMTYPE,year
823,Stojakovic,Peja,2.0,3.0,0,78,88,88.0,92,60,56,7,19.0,46.0,26,86.0,58.0,75,69,61,67,60,86,25,80,80.0,43.0,72,,06
824,Bell,Raja,3.0,2.0,0,66,64,69.0,74,59,44,7,21.0,44.0,23,75.0,48.0,73,74,61,62,57,58,25,62,58.0,20.0,47,,06
825,Brown,Kwame,1.0,0.0,0,74,60,0.0,61,77,49,59,76.0,79.0,21,60.0,66.0,70,74,71,48,70,60,12,46,78.0,0.0,44,,06
826,Chandler,Tyson,1.0,0.0,0,80,64,0.0,67,79,75,87,81.0,93.0,14,56.0,83.0,65,64,78,40,59,65,12,63,70.0,0.0,37,,06
827,Williams,Alvin,4.0,3.0,0,63,60,55.0,78,10,59,9,8.0,41.0,63,54.0,64.0,78,69,38,76,42,47,23,65,55.0,17.0,42,,06
828,Harrington,Al,1.0,2.0,0,76,65,43.0,67,84,60,9,44.0,65.0,39,76.0,65.0,68,69,85,58,74,58,20,80,59.0,8.0,75,,06
829,Gasol,Pau,1.0,0.0,0,83,80,12.0,76,71,36,82,58.0,80.0,36,85.0,80.0,70,68,60,58,63,90,15,67,85.0,0.0,66,,06
830,Jamison,Antawn,1.0,2.0,0,81,80,64.0,76,82,38,9,49.0,71.0,28,85.0,61.0,73,71,81,65,60,90,25,80,85.0,17.0,62,,06
831,Curry,Eddy,0.0,1.0,0,75,60,0.0,71,84,20,50,77.0,81.0,9,81.0,68.0,53,53,79,32,91,83,12,62,79.0,0.0,59,,06
832,Wells,Bonzi,3.0,2.0,0,74,74,63.0,75,60,77,28,26.0,63.0,25,74.0,61.0,75,76,65,70,57,80,25,51,53.0,17.0,59,,06
833,Skinner,Brian,1.0,0.0,0,66,45,0.0,35,66,59,82,79.0,81.0,21,46.0,64.0,52,45,50,24,83,66,12,43,55.0,0.0,33,,06
834,Sundov,Bruno,0.0,0.0,0,50,52,10.0,75,58,20,34,36.0,55.0,45,40.0,25.0,50,40,25,45,64,60,15,10,52.0,0.0,35,,06
835,Richardson,Jason,3.0,2.0,0,87,80,75.0,69,94,81,18,36.0,57.0,50,87.0,81.0,82,86,97,80,65,53,25,80,53.0,27.0,71,,06
836,Mobley,Cuttino,3.0,4.0,1,76,74,84.0,81,65,56,19,14.0,40.0,37,77.0,65.0,83,83,75,71,62,72,25,76,42.0,37.0,55,,06
837,Battier,Shane,2.0,3.0,0,74,70,67.0,78,56,65,48,50.0,53.0,23,59.0,70.0,68,65,60,60,58,69,25,71,57.0,29.0,38,,06
838,Nowitzki,Dirk,1.0,2.0,0,86,91,80.0,86,68,57,63,25.0,89.0,37,90.0,59.0,64,70,60,59,66,85,25,83,86.0,16.0,79,,06
839,Griffin,Eddie,1.0,0.0,0,75,59,72.0,71,70,27,88,68.0,89.0,16,67.0,46.0,55,56,70,58,62,60,25,51,49.0,39.0,43,,06
840,White,Jahidi,0.0,1.0,0,61,59,0.0,35,47,8,85,96.0,75.0,4,56.0,52.0,35,29,50,28,98,60,12,40,65.0,0.0,35,,06
841,James,Jerome,0.0,0.0,0,57,42,0.0,72,64,30,84,49.0,63.0,7,56.0,41.0,34,26,50,18,80,55,12,45,65.0,0.0,32,,06
842,McCoy,Jelani,0.0,1.0,0,64,67,2.0,55,69,38,72,56.0,83.0,15,44.0,55.0,41,44,55,36,70,65,13,40,71.0,0.0,35,,06
843,Williams,Jason,4.0,3.0,0,73,70,75.0,79,29,70,3,7.0,28.0,88,81.0,41.0,88,85,60,94,39,75,25,62,42.0,50.0,46,,06
844,Hughes,Larry,3.0,4.0,0,85,81,61.0,77,80,94,10,25.0,68.0,65,87.0,85.0,80,86,85,83,41,60,25,79,59.0,19.0,77,,06
845,Diop,DeSagana,0.0,0.0,0,60,34,0.0,37,65,48,91,73.0,68.0,23,24.0,60.0,52,55,50,27,97,34,12,21,54.0,0.0,29,,06
846,Harpring,Matt,2.0,3.0,0,70,62,40.0,77,49,49,9,60.0,57.0,26,75.0,64.0,64,59,50,74,67,80,20,73,58.0,5.0,50,,06
847,Bibby,Mike,4.0,4.0,0,82,81,80.0,85,33,73,14,19.0,43.0,84,87.0,60.0,87,83,64,88,51,75,25,83,58.0,29.0,71,,06
848,Doleac,Michael,0.0,1.0,0,57,60,0.0,60,53,35,28,50.0,75.0,19,51.0,55.0,52,42,25,45,78,68,12,41,57.0,0.0,35,,06
849,Olowokandi,Michael,0.0,0.0,0,67,57,0.0,63,68,22,73,70.0,80.0,11,57.0,65.0,50,57,60,28,79,76,12,46,63.0,0.0,37,,06
850,Mohammed,Nazr,0.0,1.0,0,67,52,0.0,67,58,54,72,84.0,79.0,8,72.0,45.0,45,50,40,24,73,60,12,59,72.0,0.0,44,,06
851,Garrity,Pat,2.0,1.0,0,63,87,75.0,87,55,35,14,16.0,56.0,14,64.0,51.0,61,60,40,58,67,60,25,37,56.0,48.0,38,,06
852,Pierce,Paul,2.0,3.0,0,89,80,80.0,85,80,80,19,21.0,64.0,57,87.0,69.0,81,78,72,83,68,90,25,79,80.0,24.0,80,,06
853,White,Rodney,2.0,1.0,0,66,58,71.0,61,83,81,25,28.0,50.0,30,75.0,39.0,57,57,70,54,63,43,25,31,65.0,18.0,55,,06
854,LaFrentz,Raef,0.0,1.0,1,72,70,70.0,81,53,33,72,56.0,81.0,21,76.0,51.0,62,54,45,40,68,47,25,64,64.0,33.0,42,,06
855,Lewis,Rashard,2.0,3.0,0,81,80,83.0,85,83,49,36,32.0,54.0,16,87.0,40.0,78,82,84,80,52,70,25,80,80.0,38.0,56,,06
856,Nesterovic,Rasho,0.0,0.0,0,65,54,0.0,46,58,30,83,75.0,74.0,18,43.0,34.0,58,60,50,28,68,80,12,58,71.0,0.0,29,,06
857,Davis,Ricky,3.0,2.0,0,74,75,61.0,81,87,59,16,19.0,35.0,43,78.0,38.0,80,72,88,71,45,70,25,73,61.0,17.0,60,,06
858,Traylor,Robert,1.0,0.0,0,66,57,0.0,53,65,73,59,75.0,73.0,22,57.0,40.0,41,54,25,42,96,50,12,46,70.0,0.0,42,,06
859,Patterson,Ruben,2.0,2.0,0,69,58,14.0,59,79,84,16,51.0,39.0,33,78.0,76.0,67,67,73,61,66,59,15,62,49.0,4.0,52,,06
860,Johnson,Joe,3.0,2.0,0,87,82,83.0,85,67,80,10,29.0,49.0,75,87.0,80.0,75,85,69,84,69,75,25,85,58.0,31.0,65,,06
861,Brown,Kedrick,2.0,3.0,0,67,52,72.0,63,80,58,13,35.0,57.0,32,58.0,41.0,64,67,75,68,61,57,25,42,51.0,38.0,35,,06
862,Drobnjak,Predrag,0.0,1.0,0,63,53,59.0,80,56,52,27,40.0,60.0,15,78.0,57.0,43,49,40,37,83,33,23,49,69.0,10.0,49,,06
863,Brand,Elton,1.0,0.0,0,86,82,0.0,75,79,36,80,74.0,83.0,53,85.0,82.0,60,64,65,50,85,72,12,81,87.0,0.0,64,,06
864,Francis,Steve,3.0,4.0,0,89,80,53.0,82,95,80,14,33.0,57.0,85,87.0,80.0,86,86,96,89,55,75,23,82,40.0,10.0,83,,06
865,Davis,Baron,4.0,3.0,0,89,85,79.0,73,89,83,12,15.0,47.0,92,87.0,83.0,90,91,85,88,69,55,25,69,56.0,47.0,85,,06
866,Odom,Lamar,2.0,1.0,1,81,64,64.0,69,71,27,40,61.0,90.0,70,74.0,59.0,74,68,72,75,69,52,25,69,75.0,15.0,63,,06
867,Bender,Jonathan,1.0,2.0,0,69,66,61.0,83,86,34,67,27.0,60.0,17,81.0,31.0,63,68,50,55,52,70,25,24,72.0,13.0,35,,06
868,Szczerbiak,Wally,2.0,3.0,0,71,79,77.0,85,45,27,9,25.0,44.0,36,78.0,55.0,69,66,68,67,69,70,25,71,64.0,18.0,55,,06
869,Hamilton,Richard,3.0,2.0,0,76,82,57.0,85,69,48,5,19.0,39.0,61,78.0,65.0,80,78,62,71,44,85,23,82,60.0,10.0,67,,06
870,Miller,Andre,4.0,3.0,0,74,68,34.0,83,5,76,3,28.0,43.0,87,73.0,74.0,80,80,30,83,56,88,20,77,60.0,4.0,61,,06
871,Marion,Shawn,2.0,1.0,0,91,75,65.0,83,85,83,80,60.0,89.0,23,85.0,80.0,80,85,85,71,55,63,25,74,80.0,31.0,70,,06
872,Terry,Jason,4.0,3.0,0,80,80,75.0,84,25,80,9,12.0,32.0,84,87.0,83.0,86,87,50,85,43,90,25,68,56.0,33.0,56,,06
873,Radojevic,Alek,0.0,0.0,0,57,48,7.0,66,58,25,47,39.0,45.0,21,43.0,62.0,46,50,40,30,64,65,13,60,70.0,0.0,35,,06
874,Maggette,Corey,2.0,3.0,0,84,80,58.0,85,92,52,3,22.0,70.0,54,87.0,54.0,80,74,92,80,67,82,23,77,80.0,17.0,78,,06
875,Artest,Ron,2.0,3.0,0,85,75,65.0,92,69,85,32,21.0,67.0,36,85.0,90.0,65,85,56,69,79,85,25,74,80.0,14.0,65,,06
876,Posey,James,2.0,3.0,0,72,64,69.0,86,80,62,25,25.0,65.0,30,56.0,61.0,72,66,50,68,55,73,25,58,49.0,50.0,40,,06
877,Glover,Dion,3.0,3.0,0,65,51,55.0,75,41,56,18,28.0,67.0,39,72.0,45.0,67,68,47,59,67,61,23,50,50.0,16.0,35,,06
878,Foster,Jeff,0.0,1.0,0,63,51,0.0,63,61,52,10,84.0,89.0,12,51.0,49.0,51,49,50,30,66,85,12,57,55.0,0.0,31,,06
879,Thomas,Kenny,1.0,2.0,0,70,56,8.0,76,52,56,12,68.0,76.0,33,75.0,41.0,68,69,50,65,75,54,13,66,74.0,0.0,49,,06
880,George,Devean,2.0,3.0,0,71,69,63.0,76,70,48,9,33.0,68.0,45,68.0,39.0,69,69,68,65,70,80,25,38,62.0,32.0,45,,06
881,Kirilenko,Andrei,2.0,2.0,0,89,75,56.0,78,80,82,98,51.0,81.0,47,85.0,95.0,64,85,75,55,50,71,23,65,80.0,18.0,60,,06
882,Jones,Jumaine,2.0,2.0,0,70,62,80.0,73,74,43,19,46.0,76.0,16,59.0,54.0,59,68,60,55,57,77,25,57,55.0,45.0,34,,06
883,Padgett,Scott,2.0,1.0,0,67,75,79.0,72,58,64,16,39.0,73.0,28,54.0,47.0,66,65,50,58,68,57,25,38,45.0,38.0,34,,06
884,Ruffin,Michael,0.0,1.0,0,64,35,0.0,43,60,62,52,83.0,71.0,23,16.0,60.0,67,71,62,46,74,69,12,43,49.0,0.0,18,,06
885,Booth,Calvin,0.0,1.0,1,60,46,0.0,81,35,60,82,51.0,79.0,8,51.0,54.0,55,65,33,37,60,38,12,25,63.0,0.0,32,,06
886,Alston,Rafer,4.0,4.0,0,71,71,76.0,74,12,78,3,11.0,46.0,86,81.0,36.0,84,79,40,99,40,66,25,75,22.0,40.0,64,,06
887,Ekezie,Obinna,1.0,0.0,0,58,36,0.0,77,58,54,25,72.0,74.0,7,59.0,47.0,35,33,55,33,86,51,12,38,58.0,0.0,39,,06
888,Profit,Laron,2.0,3.0,0,62,52,46.0,64,20,67,18,44.0,64.0,42,60.0,51.0,67,68,50,70,54,60,20,26,55.0,22.0,44,,06
889,Buckner,Greg,3.0,3.0,0,63,51,70.0,77,10,82,5,35.0,49.0,42,54.0,64.0,62,65,50,50,59,62,25,52,54.0,40.0,33,,06
890,Elson,Francisco,1.0,0.0,0,63,44,11.0,56,69,65,70,51.0,73.0,16,49.0,54.0,55,53,40,36,61,53,15,37,69.0,1.0,35,,06
891,Nailon,Lee,1.0,2.0,1,63,58,0.0,80,64,32,12,50.0,44.0,25,77.0,50.0,64,67,50,50,67,70,12,65,66.0,0.0,56,,06
892,Moore,Mikki,1.0,0.0,0,59,44,11.0,78,67,28,43,65.0,67.0,18,64.0,54.0,46,53,71,27,55,35,15,42,54.0,0.0,26,,06
893,Hamilton,Zendon,1.0,0.0,0,59,43,0.0,60,56,45,34,85.0,78.0,8,74.0,56.0,48,45,50,19,65,45,12,35,65.0,0.0,35,,06
894,Buford,Rodney,3.0,2.0,0,67,58,62.0,82,65,56,3,19.0,63.0,22,64.0,42.0,82,78,71,60,48,66,25,48,56.0,22.0,45,,06
895,Carter,Anthony,4.0,4.0,0,64,48,15.0,66,10,83,9,11.0,42.0,91,42.0,46.0,79,80,65,78,53,84,15,42,28.0,10.0,32,,06
896,Bowen,Ryan,2.0,1.0,0,56,52,33.0,66,45,68,12,28.0,47.0,14,35.0,73.0,63,60,65,42,57,50,20,29,65.0,3.0,24,,06
897,Cleaves,Mateen,4.0,4.0,0,56,48,47.0,42,0,70,2,15.0,39.0,80,64.0,52.0,76,72,40,75,63,39,20,10,36.0,4.0,35,,06
898,Griffin,Adrian,2.0,3.0,1,62,56,24.0,75,10,89,9,63.0,71.0,37,43.0,45.0,62,66,50,66,70,58,18,30,48.0,6.0,38,,06
899,Atkins,Chucky,4.0,4.0,0,65,75,79.0,80,0,44,0,8.0,29.0,60,73.0,50.0,76,79,50,78,35,77,25,78,32.0,50.0,50,,06
900,Ollie,Kevin,4.0,4.0,0,58,41,32.0,84,0,67,9,14.0,56.0,83,46.0,51.0,66,67,50,69,53,74,20,15,25.0,0.0,35,,06
901,Martin,Kenyon,1.0,1.0,0,85,63,0.0,64,85,80,81,51.0,85.0,36,77.0,80.0,66,69,85,45,85,86,12,70,75.0,1.0,60,,06
902,Fizer,Marcus,2.0,1.0,0,63,57,0.0,67,67,49,21,25.0,76.0,33,70.0,52.0,58,56,65,53,82,62,12,40,65.0,1.0,50,,06
903,Swift,Stromile,1.0,0.0,0,78,55,0.0,75,90,57,85,57.0,80.0,15,71.0,83.0,80,58,85,47,63,68,12,49,69.0,0.0,58,,06
904,Alexander,Courtney,3.0,2.0,0,63,71,57.0,81,48,42,7,24.0,31.0,28,74.0,43.0,80,63,65,57,54,62,23,49,47.0,11.0,35,,06
905,Miles,Darius,2.0,2.0,0,76,43,41.0,60,88,80,73,33.0,70.0,36,77.0,66.0,73,70,86,60,51,55,20,59,60.0,3.0,61,,06
906,Mihm,Chris,0.0,1.0,0,64,45,0.0,67,58,12,80,76.0,76.0,12,75.0,54.0,47,40,50,33,78,45,12,58,65.0,0.0,45,,06
907,Miller,Mike,3.0,2.0,0,74,80,85.0,85,50,43,16,12.0,61.0,46,76.0,55.0,76,60,60,65,57,80,25,67,64.0,42.0,49,,06
908,Peterson,Morris,3.0,2.0,1,73,68,77.0,83,65,65,10,22.0,56.0,32,78.0,55.0,70,72,60,70,57,75,25,69,52.0,40.0,49,,06
909,Przybilla,Joel,0.0,0.0,0,64,42,0.0,51,58,22,91,73.0,89.0,18,49.0,76.0,41,43,50,28,70,40,12,57,66.0,0.0,31,,06
910,Johnson,DerMarr,2.0,3.0,0,69,78,72.0,79,80,64,23,28.0,46.0,29,76.0,41.0,64,62,75,69,46,47,25,44,46.0,40.0,44,,06
911,Smith,Jabari,1.0,0.0,0,59,57,14.0,74,58,70,34,35.0,67.0,28,48.0,49.0,38,44,50,28,65,53,15,34,70.0,1.0,31,,06
912,Mason,Desmond,2.0,3.0,0,70,59,16.0,80,95,36,14,23.0,40.0,36,77.0,56.0,82,74,96,76,65,38,15,79,48.0,1.0,62,,06
913,Thomas,Etan,1.0,0.0,0,64,40,0.0,52,68,32,84,70.0,76.0,9,64.0,68.0,50,48,50,25,78,40,12,45,76.0,0.0,42,,06
914,Moiso,Jerome,1.0,0.0,1,68,56,2.0,66,68,54,84,72.0,82.0,17,61.0,50.0,50,56,50,42,67,65,13,32,54.0,1.0,35,,06
915,Dooling,Keyon,4.0,3.0,0,71,63,61.0,77,80,59,14,7.0,35.0,54,60.0,50.0,87,89,67,76,48,66,25,42,53.0,22.0,49,,06
916,Richardson,Quentin,2.0,3.0,0,76,80,83.0,85,74,60,14,25.0,70.0,26,78.0,47.0,70,69,79,73,68,45,25,78,51.0,33.0,54,,06
917,Magloire,Jamaal,0.0,1.0,0,71,50,0.0,60,75,20,74,79.0,80.0,19,73.0,63.0,50,56,40,53,76,85,12,58,68.0,0.0,53,,06
918,Harvey,Donnell,2.0,1.0,0,59,34,2.0,73,80,56,56,50.0,74.0,13,59.0,53.0,53,56,75,25,58,50,13,35,60.0,1.0,35,,06
919,N'diaye,Mamadou,0.0,0.0,0,62,41,0.0,75,72,40,84,81.0,83.0,0,51.0,62.0,55,58,65,15,72,20,12,13,55.0,0.0,35,,06
920,Collier,Jason,0.0,0.0,1,61,60,46.0,67,70,28,21,70.0,56.0,8,75.0,50.0,39,36,65,31,75,62,20,37,48.0,1.0,41,,06
921,Marks,Sean,1.0,0.0,0,60,55,0.0,78,58,22,72,58.0,75.0,15,59.0,42.0,52,50,50,29,73,70,12,23,48.0,0.0,47,,06
922,Blount,Mark,1.0,0.0,0,59,46,0.0,71,58,27,48,53.0,63.0,29,68.0,49.0,42,54,40,22,69,46,12,61,62.0,0.0,37,,06
923,Jackson,Marc,0.0,1.0,0,64,62,0.0,82,60,28,14,72.0,58.0,19,78.0,55.0,58,40,75,40,74,54,12,58,69.0,0.0,58,,06
924,Lue,Tyronn,4.0,3.0,0,67,75,65.0,86,0,28,0,5.0,35.0,82,75.0,75.0,88,90,35,71,45,70,25,64,46.0,24.0,35,,06
925,Carter,Vince,3.0,2.0,0,89,80,80.0,85,94,70,20,29.0,54.0,56,87.0,70.0,82,80,98,80,60,70,25,79,80.0,20.0,82,,06
926,Crawford,Jamal,3.0,4.0,0,79,86,82.0,83,80,62,10,9.0,33.0,80,87.0,31.0,79,85,55,86,45,69,25,81,54.0,47.0,60,,06
927,Radmanovic,Vladimir,1.0,2.0,0,68,81,79.0,78,58,56,27,22.0,67.0,22,76.0,41.0,61,63,75,46,63,32,25,64,54.0,47.0,45,,06
928,Miller,Brad,0.0,1.0,0,76,55,32.0,81,57,59,52,53.0,81.0,50,75.0,52.0,58,62,50,38,75,70,20,76,86.0,1.0,53,,06
929,Turkoglu,Hedo,2.0,3.0,0,65,69,78.0,83,23,41,16,28.0,51.0,42,80.0,35.0,60,61,37,67,55,70,25,59,62.0,31.0,61,,06
930,Claxton,Speedy,4.0,4.0,0,69,62,40.0,73,0,86,5,15.0,40.0,88,72.0,67.0,90,86,50,85,42,38,20,65,47.0,10.0,66,,06
931,Stevenson,DeShawn,3.0,4.0,0,63,52,63.0,55,89,25,12,28.0,30.0,30,75.0,33.0,71,75,87,62,57,35,25,45,54.0,16.0,54,,06
932,McInnis,Jeff,4.0,4.0,0,67,63,68.0,81,33,38,0,9.0,23.0,80,70.0,49.0,78,77,40,77,40,88,25,76,41.0,29.0,55,,06
933,Tsakalidis,Jake,0.0,1.0,0,58,41,0.0,67,64,19,80,60.0,65.0,16,52.0,49.0,45,39,50,35,88,32,12,21,67.0,0.0,33,,06
934,Madsen,Mark,1.0,0.0,0,59,50,0.0,50,65,20,36,76.0,57.0,14,27.0,62.0,58,59,45,33,71,85,12,33,73.0,0.0,20,,06
935,Voskuhl,Jake,0.0,1.0,0,55,40,0.0,68,58,19,48,67.0,79.0,22,41.0,64.0,39,43,40,22,68,46,12,24,59.0,0.0,31,,06
936,House,Eddie,4.0,3.0,0,65,74,80.0,85,0,82,10,14.0,39.0,51,76.0,46.0,80,84,50,62,42,57,25,36,43.0,27.0,54,,06
937,Norris,Moochie,4.0,4.0,1,61,68,0.0,83,0,82,9,22.0,53.0,51,48.0,60.0,82,70,50,72,48,80,12,24,36.0,11.0,47,,06
938,Boykins,Earl,4.0,4.0,0,74,66,66.0,92,0,65,7,12.0,25.0,84,77.0,61.0,99,99,50,80,50,80,25,62,49.0,20.0,69,,06
939,Jones,Damon,4.0,3.0,0,66,70,87.0,79,0,30,1,4.0,44.0,65,70.0,65.0,74,79,60,75,45,75,25,71,34.0,59.0,45,,06
940,Najera,Eduardo,1.0,2.0,0,65,47,37.0,63,10,62,32,68.0,63.0,26,56.0,64.0,62,68,45,59,67,64,20,44,75.0,7.0,40,,06
941,Hudson,Troy,4.0,3.0,0,64,70,76.0,77,0,27,5,8.0,25.0,82,75.0,62.0,80,88,43,76,39,60,25,54,48.0,39.0,59,,06
942,Redd,Michael,3.0,2.0,1,76,82,85.0,85,60,40,3,19.0,44.0,29,87.0,48.0,80,80,70,80,59,85,25,81,55.0,21.0,70,,06
943,Cardinal,Brian,1.0,2.0,0,65,58,66.0,87,58,88,19,35.0,58.0,37,68.0,42.0,50,49,25,49,73,53,25,54,53.0,29.0,50,,06
944,Hart,Jason,4.0,3.0,0,69,52,61.0,78,15,84,10,7.0,51.0,87,70.0,66.0,74,79,55,72,45,55,25,59,33.0,17.0,35,,06
945,Santiago,Daniel,0.0,0.0,0,54,45,0.0,68,58,50,49,41.0,71.0,17,59.0,48.0,40,33,25,28,73,54,12,18,65.0,0.0,35,,06
946,Newble,Ira,2.0,2.0,0,64,52,55.0,79,58,49,14,33.0,40.0,23,44.0,63.0,65,68,55,62,60,70,23,58,53.0,13.0,31,,06
947,Medvedenko,Slava,1.0,1.0,0,58,57,0.0,82,58,38,7,58.0,60.0,14,73.0,55.0,51,43,40,43,73,57,12,25,68.0,0.0,46,,06
948,Braggs,Torraye,1.0,1.0,0,55,35,7.0,46,58,19,18,68.0,62.0,58,38.0,56.0,41,43,65,23,73,70,13,7,69.0,0.0,35,,06
949,Fowlkes,Tremaine,2.0,1.0,1,59,41,20.0,85,58,64,18,56.0,71.0,27,32.0,62.0,61,66,50,40,57,66,18,20,53.0,16.0,35,,06
950,Sesay,Ansu,2.0,1.0,1,66,43,41.0,54,68,59,56,60.0,45.0,15,66.0,58.0,65,60,66,48,60,90,20,29,56.0,11.0,35,,06
951,Pettit,Bob,0.0,1.0,0,75,80,15.0,76,55,28,25,78.0,75.0,40,80.0,70.0,45,55,40,60,66,80,15,90,85.0,1.0,81,,06
952,Schayes,Dolph,1.0,0.0,0,74,75,8.0,84,55,25,25,65.0,70.0,55,85.0,75.0,55,50,40,55,60,88,13,90,75.0,1.0,77,,06
953,Arizin,Paul,2.0,3.0,0,72,84,75.0,81,55,43,5,28.0,57.0,52,85.0,62.0,71,65,40,61,32,85,25,90,48.0,1.0,81,,06
954,Sharman,Bill,3.0,4.0,0,75,85,85.0,88,55,62,5,12.0,30.0,61,94.0,90.0,65,70,40,65,28,85,25,90,51.0,1.0,77,,06
955,Cousy,Bob,4.0,4.0,0,83,78,70.0,80,10,60,10,22.0,65.0,99,97.0,89.0,91,95,50,96,22,90,25,90,48.0,1.0,73,,06
956,Gallatin,Harry,1.0,0.0,0,70,57,2.0,77,0,39,55,70.0,74.0,35,75.0,75.0,60,55,40,45,60,99,13,90,75.0,1.0,75,,06
957,Guerin,Richie,2.0,3.0,0,71,75,45.0,78,55,39,6,18.0,43.0,70,80.0,74.0,70,70,40,70,36,85,20,90,52.0,1.0,50,,06
958,Yardley,George,2.0,1.0,0,70,74,35.0,78,10,34,15,50.0,70.0,35,80.0,70.0,70,70,70,55,30,80,20,90,85.0,1.0,68,,06
959,Hagan,Cliff,2.0,1.0,0,71,74,25.0,80,10,35,8,44.0,74.0,41,88.0,71.0,66,66,70,55,38,90,18,90,84.0,1.0,68,,06
960,Braun,Carl,3.0,2.0,0,68,65,45.0,80,0,28,37,44.0,75.0,55,85.0,75.0,60,58,40,50,24,85,20,90,75.0,1.0,50,,06
961,Chamberlain,Wilt,0.0,0.0,0,92,86,6.0,51,99,39,99,75.0,95.0,58,86.0,76.0,68,63,65,51,76,90,13,90,99.0,0.0,99,,06
962,Russell,Bill,0.0,0.0,1,87,55,2.0,56,79,45,99,78.0,99.0,52,70.0,99.0,72,61,70,45,60,90,13,90,80.0,1.0,60,,06
963,Baylor,Elgin,2.0,1.0,0,83,85,20.0,78,78,38,25,64.0,70.0,50,90.0,85.0,80,77,65,80,42,90,18,90,84.0,1.0,88,,06
964,Robertson,Oscar,3.0,4.0,0,88,85,60.0,84,79,53,19,45.0,58.0,78,93.0,90.0,75,78,70,81,40,90,25,90,75.0,1.0,60,,06
965,Reed,Willis,0.0,0.0,1,81,84,5.0,75,65,56,80,70.0,80.0,38,85.0,80.0,58,61,40,45,49,80,13,90,82.0,1.0,75,,06
966,Greer,Hal,3.0,3.0,0,72,81,75.0,80,0,50,5,15.0,25.0,61,94.0,75.0,87,90,50,77,22,85,25,90,43.0,1.0,90,,06
967,Wilkens,Lenny,4.0,3.0,1,81,85,60.0,77,65,65,7,16.0,35.0,85,97.0,93.0,89,91,40,83,24,80,25,90,51.0,1.0,75,,06
968,Lucas,Jerry,1.0,0.0,0,76,65,60.0,78,45,17,25,91.0,85.0,55,94.0,97.0,51,48,40,45,47,75,25,90,60.0,1.0,60,,06
969,Jones,Sam,3.0,2.0,0,71,85,75.0,80,10,54,5,17.0,32.0,55,85.0,77.0,71,78,50,60,34,75,25,90,58.0,1.0,75,,06
970,Heinsohn,Tommy,1.0,2.0,0,71,75,48.0,79,45,31,13,37.0,55.0,38,90.0,78.0,56,55,40,50,61,80,20,90,85.0,1.0,60,,06
971,Bellamy,Walt,0.0,0.0,0,67,54,0.0,63,10,22,61,75.0,72.0,35,70.0,65.0,55,58,50,32,52,90,12,90,80.0,1.0,75,,06
972,Havlicek,John,2.0,3.0,0,79,70,50.0,81,79,75,11,20.0,37.0,70,99.0,91.0,85,70,40,57,54,90,23,90,55.0,1.0,65,,06
973,Barry,Rick,2.0,2.0,0,75,94,85.0,89,79,32,8,17.0,55.0,51,92.0,50.0,65,60,40,65,40,95,25,90,57.0,2.0,67,,06
974,Bing,Dave,3.0,3.0,0,72,85,77.0,77,0,38,10,16.0,27.0,71,91.0,85.0,78,74,50,80,26,75,25,90,54.0,1.0,68,,06
975,Frazier,Walt,4.0,3.0,0,81,81,70.0,78,53,80,7,20.0,32.0,73,95.0,92.0,80,85,40,82,34,85,25,90,57.0,1.0,82,,06
976,Cowens,Dave,0.0,1.0,1,70,65,5.0,78,0,32,29,75.0,72.0,57,81.0,92.0,67,60,50,42,45,76,13,90,72.0,1.0,72,,06
977,Cunningham,Billy,2.0,1.0,1,78,75,34.0,72,70,54,18,65.0,55.0,57,85.0,81.0,70,75,65,54,46,80,20,90,66.0,1.0,68,,06
978,Unseld,Wes,0.0,1.0,0,77,45,0.0,63,79,17,29,88.0,78.0,76,83.0,94.0,45,55,99,39,52,82,12,90,69.0,1.0,81,,06
979,Monroe,Earl,3.0,4.0,0,72,80,64.0,80,0,49,5,11.0,18.0,62,90.0,80.0,85,86,50,96,28,85,25,90,50.0,1.0,70,,06
980,Lanier,Bob,0.0,0.0,1,75,68,2.0,76,79,28,55,61.0,68.0,53,85.0,76.0,57,53,40,37,62,74,13,90,82.0,1.0,67,,06
981,Drexler,Clyde,3.0,3.0,0,86,85,59.0,79,95,84,40,50.0,52.0,84,88.0,68.0,68,66,85,80,52,30,23,78,70.0,14.0,90,,06
982,Walton,Bill,0.0,0.0,0,80,65,3.0,66,70,35,80,80.0,80.0,74,94.0,93.0,63,59,65,45,47,15,13,90,84.0,1.0,68,,06
983,Malone,Moses,0.0,0.0,0,79,80,2.0,76,79,22,45,84.0,72.0,20,85.0,79.0,57,67,50,42,77,75,13,90,98.0,1.0,74,,06
984,Bird,Larry,1.0,2.0,0,94,97,95.0,89,79,81,31,42.0,61.0,99,99.0,94.0,65,63,50,90,43,87,25,90,84.0,9.0,88,,06
985,Erving,Julius,2.0,3.0,0,95,80,47.0,78,99,83,70,66.0,74.0,56,87.0,92.0,87,90,90,71,41,90,20,90,64.0,1.0,94,,06
